temperature_threshold,humidity_max_residual,pressure_max_residual,multivariate_detected,multivariate_total,multivariate_recall,accuracy,precision,recall,f1,fpr,TP,FP,FN,TN,added_alerts,baseline_f1,baseline_recall,baseline_fpr
7,10,5.0,7,7,1.0,0.9937200274035168,0.5984251968503937,0.95,0.7342995169082126,0.00587693016824153,76,51,4,8627,22,0.745945945945946,0.8625,0.004148421295229315
7,15,2.0,7,7,1.0,0.9937200274035168,0.5984251968503937,0.95,0.7342995169082126,0.00587693016824153,76,51,4,8627,22,0.745945945945946,0.8625,0.004148421295229315
7,15,3.0,7,7,1.0,0.9937200274035168,0.5984251968503937,0.95,0.7342995169082126,0.00587693016824153,76,51,4,8627,22,0.745945945945946,0.8625,0.004148421295229315
7,15,5.0,7,7,1.0,0.9937200274035168,0.5984251968503937,0.95,0.7342995169082126,0.00587693016824153,76,51,4,8627,22,0.745945945945946,0.8625,0.004148421295229315
8,8,0.5,4,7,0.5714285714285714,0.9939483900433889,0.6134453781512605,0.9125,0.7336683417085427,0.005300760543904126,73,46,7,8632,14,0.745945945945946,0.8625,0.004148421295229315
9,8,2.0,4,7,0.5714285714285714,0.9939483900433889,0.6134453781512605,0.9125,0.7336683417085427,0.005300760543904126,73,46,7,8632,14,0.745945945945946,0.8625,0.004148421295229315
9,8,3.0,4,7,0.5714285714285714,0.9939483900433889,0.6134453781512605,0.9125,0.7336683417085427,0.005300760543904126,73,46,7,8632,14,0.745945945945946,0.8625,0.004148421295229315
9,8,5.0,4,7,0.5714285714285714,0.9939483900433889,0.6134453781512605,0.9125,0.7336683417085427,0.005300760543904126,73,46,7,8632,14,0.745945945945946,0.8625,0.004148421295229315
9,2,0.5,1,7,0.14285714285714285,0.994176752683261,0.6306306306306306,0.875,0.7329842931937173,0.00472459091956672,70,41,10,8637,6,0.745945945945946,0.8625,0.004148421295229315
6,5,2.0,6,7,0.8571428571428571,0.9937200274035168,0.6,0.9375,0.7317073170731707,0.005761696243374049,75,50,5,8628,20,0.745945945945946,0.8625,0.004148421295229315
6,5,3.0,6,7,0.8571428571428571,0.9937200274035168,0.6,0.9375,0.7317073170731707,0.005761696243374049,75,50,5,8628,20,0.745945945945946,0.8625,0.004148421295229315
6,5,5.0,6,7,0.8571428571428571,0.9937200274035168,0.6,0.9375,0.7317073170731707,0.005761696243374049,75,50,5,8628,20,0.745945945945946,0.8625,0.004148421295229315
7,8,2.0,6,7,0.8571428571428571,0.9937200274035168,0.6,0.9375,0.7317073170731707,0.005761696243374049,75,50,5,8628,20,0.745945945945946,0.8625,0.004148421295229315
7,8,3.0,6,7,0.8571428571428571,0.9937200274035168,0.6,0.9375,0.7317073170731707,0.005761696243374049,75,50,5,8628,20,0.745945945945946,0.8625,0.004148421295229315
7,8,5.0,6,7,0.8571428571428571,0.9937200274035168,0.6,0.9375,0.7317073170731707,0.005761696243374049,75,50,5,8628,20,0.745945945945946,0.8625,0.004148421295229315
7,2,2.0,3,7,0.42857142857142855,0.9939483900433889,0.6153846153846154,0.9,0.7309644670050761,0.005185526619036644,72,45,8,8633,12,0.745945945945946,0.8625,0.004148421295229315
7,2,3.0,3,7,0.42857142857142855,0.9939483900433889,0.6153846153846154,0.9,0.7309644670050761,0.005185526619036644,72,45,8,8633,12,0.745945945945946,0.8625,0.004148421295229315
7,2,5.0,3,7,0.42857142857142855,0.9939483900433889,0.6153846153846154,0.9,0.7309644670050761,0.005185526619036644,72,45,8,8633,12,0.745945945945946,0.8625,0.004148421295229315
9,8,0.5,3,7,0.42857142857142855,0.9939483900433889,0.6153846153846154,0.9,0.7309644670050761,0.005185526619036644,72,45,8,8633,12,0.745945945945946,0.8625,0.004148421295229315
6,10,2.0,7,7,1.0,0.9936058460835807,0.59375,0.95,0.7307692307692307,0.005992164093109011,76,52,4,8626,23,0.745945945945946,0.8625,0.004148421295229315
6,10,3.0,7,7,1.0,0.9936058460835807,0.59375,0.95,0.7307692307692307,0.005992164093109011,76,52,4,8626,23,0.745945945945946,0.8625,0.004148421295229315
6,10,5.0,7,7,1.0,0.9936058460835807,0.59375,0.95,0.7307692307692307,0.005992164093109011,76,52,4,8626,23,0.745945945945946,0.8625,0.004148421295229315
8,10,0.5,4,7,0.5714285714285714,0.9938342087234528,0.6083333333333333,0.9125,0.73,0.005415994468771606,73,47,7,8631,15,0.745945945945946,0.8625,0.004148421295229315
8,15,0.5,4,7,0.5714285714285714,0.9938342087234528,0.6083333333333333,0.9125,0.73,0.005415994468771606,73,47,7,8631,15,0.745945945945946,0.8625,0.004148421295229315
